gene,score
HLA-DRA,80.76425742948297
NIBAN3,73.3103557944789
IRF8,73.03980434854631
HLA-DQB1,69.65519194483475
CD74,69.59277908598854
LINC01857,69.53337021236328
CD3E,69.29049867145343
IL32,67.11492732117809
CD79A,66.26740360596146
CD24,66.12725207822241
IGHA1,63.24038233277978
IFITM1,62.10357383095793
IGHM,62.094354153358005
IGHG3,61.54230811531772
ITGB2,61.493425748638494
TRPM4,61.406394882701335
FYB1,61.013711837389
HLA-DMB,60.89771371388866
CD3D,60.66566169027262
PLAAT4,57.50535027669491
ID3,55.48704882903938
AFF3,54.4922433713474
ANXA1,53.84492086470163
CD3G,52.67820027051122
GZMM,51.12088288454909
KLF2,51.10320532737428
LILRA4,49.777927755799276
RALGPS2,49.39805928596271
CCL5,48.87987466416137
GIMAP7,48.70956069499829
CTSW,48.406278486531065
TXNIP,48.343651718904525
LAT,48.2746332047575
NKG7,48.130971025096464
CD79B,47.945550760977895
STMN1,47.383279538936385
SLC9A3R1,47.29926023037288
IL7R,47.05764791294718
ARL4C,46.72374684787541
IGLC6,46.589857865402315
GIMAP4,46.39778818974988
SELPLG,46.030234942822254
LCP2,45.71101676308252
GZMA,45.62534528764155
CD7,45.10745684513221
CST7,44.74811735158726
LCK,44.46366722897656
STX7,44.17341966065589
CD247,43.973246593760656
EDN1,43.638642489886536
FCRL5,43.28469421525052
CLEC17A,42.707953085716404
FYN,42.52450649671977
ATF5,42.35465962837506
SH3BGRL3,42.21167497091436
H1FX,42.03369699738321
ID2,41.94140554508288
PAGE2B,41.65111141748152
CD2,41.64389596357265
IGLC7,41.58924470569077
FCER2,41.26017880739499
LIME1,41.25747833191883
GNLY,41.195309376631194
ITGA4,40.88430970663863
IGHV1-24,40.88098701826695
CCDC88A,40.79612135351435
IGHG2,40.14675481091723
GZMH,40.02821044394144
MS4A1,39.98146110479869
RPS4Y1,39.8184219326907
KLHL14,39.736732190981094
LINC02397,39.508039341388155
TCF7,39.50775064074376
IGKV3-11,39.24741475771447
PRF1,38.99005931984804
MT2A,38.953129242386225
KLF3,38.91187290594894
PRKCH,38.71008067117278
ZNF107,38.69650874761439
TYMS,38.65839352319673
BIN2,38.595852489173545
MS4A6A,37.90153601253983
BCL11B,37.647450877663786
KLRG1,37.620631950761656
LINC00861,37.473779403968095
GIMAP5,37.47031508566042
MYO1F,37.36211035631862
ADD3,37.23430167970283
FGFBP2,37.20994311664416
CD6,37.167023751761924
GIMAP1,37.049466824238735
FLT3LG,37.0385939759388
IFITM2,37.031700068844536
HLA-A,36.80861188313587
TTN,36.634394087255885
ORAI2,36.54851465693115
KLRK1,36.404337798961215
HOPX,36.40314594150799
AAK1,36.00188645708732
ZYX,35.88425275808602
COL9A3,35.76613322776804
MS4A4E,35.7517966705844
LINC00926,35.60889005773871
SERPINF1,35.567072828850115
ITK,35.553769714980994
ARRB2,35.52328692302107
SLC2A3,35.464649704052874
ITGB2-AS1,35.400811741158435
FCGR2B,35.05916652928469
PLEKHG1,35.054132046519285
CD72,34.9088042184857
ZAP70,34.87398228019496
P2RY8,34.83595035161402
MIR155HG,34.51771433892621
TC2N,34.24552820930785
IGLV3-25,34.1767707271212
ADGRE5,34.157159229395596
MZB1,34.088962719631255
S100A10,33.828760735563634
CD96,33.799188560845096
IGLC1,33.73322111820473
GZMB,33.666996527913604
CD8A,33.528683426434455
C12orf75,33.383494117111155
COBLL1,33.361547770285505
MGAT4A,33.26717065024592
SUN2,33.07047717950176
C16orf74,32.66279567359423
IGLV4-69,32.56489405260539
KLRD1,32.535151447663004
MATK,32.406426658155944
LINC01480,32.3379864109167
EFHD2,32.32772950018836
CIITA,32.217292999424
IGKC,32.207947433195486
CD83,32.1282457654589
RORA,31.962629524537704
NUCB2,31.81208516958327
ZFP36L2,31.64339093875684
RASA3,31.44743876289988
SAMD3,31.082796594329654
TSC22D3,31.018520898782405
PXN,30.99689280114257
CD8B,30.902867694046293
CLEC2B,30.833926495548653
FABP5,30.81713557434633
ITM2A,30.811058839433475
THEMIS,30.60162522580778
CD4,30.59446525324325
MYBL2,30.51450509723803
TRBC1,30.30989990899696
EAF2,30.172065050299317
SAMHD1,30.139675329438308
RBMS1,30.08156504897465
CAPN2,30.035672682683007
TUBB,29.965322179136937
MARCKS,29.96464323433367
RNASE6,29.932480532905604
LILRB4,29.923866217454375
SORL1,29.911052330666628
CALM3,29.84006911230177
PTGER2,29.51168322772132
GLRX,29.48796928895219
GBP5,29.469090536333873
GATA3,29.387588639618944
CMTM7,29.383330123203255
CRIP1,29.102578109884295
ADGRG1,29.043349900724255
CAMK4,28.939333205173305
IL4R,28.90880982913751
STOM,28.7770083676915
S100A4,28.63806526984898
PITPNC1,28.62542682668751
CD69,28.61836812104349
COL9A2,28.555727084618503
ADTRP,28.53865363324236
BMP2K,28.468120564993672
SYTL3,28.451086209565236
UPP1,28.394571335036286
MAL,28.282509857887504
MEF2C,28.275719758437223
TIMP1,28.175131184460483
PRKCQ-AS1,28.14491584499793
CD200,28.10132408671529
DUSP1,28.090689224061457
ALOX5,28.060534282930515
RASGRP1,27.992187417681414
STAT4,27.938936214186334
CCDC191,27.8702467288199
SERPINB6,27.849921916798802
GZMK,27.838839295910454
CKS2,27.72982481446231
FCRL6,27.63371732948448
SH2D2A,27.6036116056339
TPM2,27.570028622464907
SIDT2,27.532557329804966
VSIR,27.523112064550542
MYADM,27.402322097745408
GABPB1-AS1,27.378661188315657
DMD,27.156804947594676
CXCR4,27.048145375729447
TBX21,26.86087538856102
TLE1,26.833633829717012
TSPAN32,26.791468287241788
TGFBI,26.698854679722494
APOD,26.68071458252404
IGHG4,26.583881147785227
CCND3,26.486125023895315
RASAL3,26.33379770536791
GRAP2,26.170790845231828
MYBL1,26.01576338743128
TNFAIP3,26.00868449154254
AOAH,25.998193490920595
SOCS3,25.927703064065238
LINC01871,25.91479266693594
RNF125,25.88753189409313
PIK3R5,25.862276648830882
PRDM1,25.853008488172577
TNIK,25.83870514870175
CASP1,25.745108699591558
TGFB1,25.732009566582988
ITGAL,25.704843055497456
SLFN5,25.544124225098166
NUSAP1,25.467436647372782
CLEC4C,25.447784845621264
DOK2,25.39146346574401
LINC02446,25.155254235374038
RAB37,25.107233506225725
RNF213,25.086080774984413
S1PR5,25.056442997613793
CPNE5,24.966317547706076
TRBV7-6,24.940896705894684
IFI30,24.935521029351264
BANK1,24.924786095194406
PAG1,24.780949178732318
SH2D1A,24.71077967736461
EOMES,24.65575698765651
TOB1,24.62778805207883
METTL7A,24.62711454809696
TRAV12-1,24.608843919720208
FILIP1L,24.596773223479758
INPP4B,24.57044163030555
PRSS23,24.55501641089186
CRYM,24.502487879725855
RPS27,24.470726407211092
SIRPG,24.423292042466883
IGHV1-46,24.287988349903525
RAP1B,24.26679539432079
TSPAN14,24.218003238344945
FCHSD2,24.209151798562118
RUNX3,24.19589459205483
RPLP0,24.068874853517233
COL6A2,24.008507186203648
ARMH1,23.91843081298997
DNAJB1,23.77833681457299
MAP1LC3A,23.642558836366184
HMOX1,23.506920839893706
IER2,23.506849147865424
BIRC3,23.452117354313838
VPS37B,23.432101195054702
GPRIN3,23.411630792132335
TPT1,23.401532578311908
XIST,23.28337110858815
PLAC8,23.227377269714324
NFATC1,23.221759814472378
TRAT1,23.015413884152345
SFTPB,23.00422596256657
RNF144B,22.96949059935081
SATB1,22.90768528050372
RNF166,22.866533588339998
XBP1,22.758327876898683
DPYD,22.635772945814
CD300A,22.625384084376254
TYROBP,22.62314951109823
TTC39C,22.62074840753554
PDE4D,22.591783184911062
PTGDR,22.577435127085284
TESC,22.56451445017399
TNNI2,22.392136920704736
GABARAPL1,22.30406933398097
GPM6A,22.239514413223837
IL2RB,22.238157983478278
CISH,22.01270181146736
CEBPD,22.006759153183154
ITGA6,21.925933137575438
ZNF683,21.7484384422215
GLUL,21.650728689510387
SYNE1,21.5971190228156
CITED2,21.550468292035013
AIF1,21.498739097914807
DAPP1,21.480612370683296
FOSL2,21.452839108316113
KHDRBS2,21.350047831101122
ARHGAP44,21.23927367384403
CD226,21.165936963196874
PROK2,21.106024472437554
WDR11,21.09614809655582
TRABD2A,21.089356923580063
MT-ND3,21.043244848874387
NSG1,20.957989716052015
