gene,W_observed,p_value_perm,z_score,perturbation,mean
RP11-54O7.1,5.3695012528227316e-05,0.004975124378109453,3.233132842937418,SPI1_pDS255,0.002253814147018
SAMD11,0.0009024455350774591,0.009950248756218905,3.6184890571388086,SPI1_pDS255,0.0024271844660194
TTLL10,0.00012733718884622437,0.004975124378109453,3.509903428477081,SPI1_pDS255,0.0292995839112343
FAM132A,0.0009399655417128293,0.04975124378109453,0.6947158494078547,SPI1_pDS255,0.0050277392510402
SLC35E2,0.0001372643691199378,0.06965174129353234,0.3451200781958546,SPI1_pDS255,0.0052011095700416
SMIM1,0.015751649424687132,0.472636815920398,-0.14188617497986505,SPI1_pDS255,0.0292995839112343
C1orf174,0.012263514987312128,0.48756218905472637,-0.23213425819168534,SPI1_pDS255,0.2352635228848821
LINC01134,0.0006904825045112714,0.04975124378109453,0.1767402431623349,SPI1_pDS255,0.0036407766990291
ERRFI1,0.0007313532784002546,0.04975124378109453,1.4011694025872534,SPI1_pDS255,0.0032940360610263
RP4-635E18.8,0.0038742371996814367,0.5223880597014925,0.34312638015223546,SPI1_pDS255,0.0114424410540915
RP4-635E18.6,0.01534988898126396,0.01990049751243781,2.5828274006312455,SPI1_pDS255,0.0521844660194174
FBXO2,0.0004088703949959559,0.04975124378109453,0.05524677739855964,SPI1_pDS255,0.0031206657420249
TMEM51,0.0025186070141837965,0.7164179104477612,-1.024719122226213,SPI1_pDS255,0.012135922330097
FBLIM1,0.000830171933609431,0.01990049751243781,1.6038411218190787,SPI1_pDS255,0.0017337031900138
SPEN,0.014384022854180622,0.4079601990049751,0.08706000603368633,SPI1_pDS255,0.0292995839112343
ZBTB17,0.01477263518423798,0.03482587064676617,2.1331448748318955,SPI1_pDS255,0.0532246879334257
C1orf134,0.00011449168559695681,0.004975124378109453,3.7166045940910544,SPI1_pDS255,0.002253814147018
RP4-798A10.7,0.00016702086852744897,0.009950248756218905,3.0849711437608196,SPI1_pDS255,0.0032940360610263
ACTL8,0.0071334135410083144,0.08955223880597014,1.7680588713656784,SPI1_pDS255,0.0240984743411927
RP1-43E13.2,0.0006049387018405779,0.03980099502487562,0.1712669539918316,SPI1_pDS255,0.0058945908460471
TMCO4,9.048009879770731e-05,0.004975124378109453,3.9965300242759074,SPI1_pDS255,0.0024271844660194
PINK1-AS,0.0001957935370543467,0.004975124378109453,2.866001326334215,SPI1_pDS255,0.0036407766990291
ECE1,0.0057831846744106005,0.7313432835820896,-0.43664183959247876,SPI1_pDS255,0.0214979195561719
LUZP1,0.0266269911755031,0.15920398009950248,1.1195283544669234,SPI1_pDS255,0.2801664355062413
ID3,0.010235665400106895,0.31343283582089554,0.2988726223841455,SPI1_pDS255,0.0481969486823855
SYF2,0.03280985853950043,0.12437810945273632,1.0685688434143166,SPI1_pDS255,0.614251040221914
C1orf63,0.013973399961603437,0.6169154228855721,-0.4992721088497196,SPI1_pDS255,0.3191747572815534
RP3-465N24.6,0.00017323731007818675,0.8407960199004975,-0.610338041524755,SPI1_pDS255,0.0069348127600554
PAQR7,0.0005017137221572651,0.029850746268656716,1.6781853406191654,SPI1_pDS255,0.0050277392510402
STMN1,0.19928333609386978,0.004975124378109453,15.385541145782907,SPI1_pDS255,5.130721220527046
PDIK1L,0.006171964130954159,0.21393034825870647,1.1772333584974786,SPI1_pDS255,0.0240984743411927
SH3BGRL3,0.35507225888283495,0.004975124378109453,22.663990367146187,SPI1_pDS255,2.945735090152566
CD52,0.04780101574187705,0.004975124378109453,5.59198521647484,SPI1_pDS255,0.164008321775312
RPS6KA1,0.018878158781288134,0.06965174129353234,1.6747925957549548,SPI1_pDS255,0.1414701803051317
C1orf172,0.00012116950878640105,0.06965174129353234,0.3806073078515829,SPI1_pDS255,0.0292995839112343
SYTL1,0.0006505577120858348,0.04975124378109453,0.2721265693060289,SPI1_pDS255,0.006761442441054
GPR3,0.006571310760251853,0.029850746268656716,1.0783003423665867,SPI1_pDS255,0.0292995839112343
RP1-159A19.4,0.00023058142343974206,0.03482587064676617,0.1987389634351207,SPI1_pDS255,0.0050277392510402
SESN2,0.010498092900467574,0.3781094527363184,0.19176555880054927,SPI1_pDS255,0.0887656033287101
SNHG12,0.017363282263400528,0.27860696517412936,0.43708880649561016,SPI1_pDS255,0.1941747572815534
RAB42,0.0003411052832235021,0.004975124378109453,3.209585829801201,SPI1_pDS255,0.0020804438280166
YTHDF2,0.03143614712461406,0.17412935323383086,0.9018841068895134,SPI1_pDS255,0.6406033287101248
LAPTM5,0.01654664597350968,0.9154228855721394,-1.2234969388268693,SPI1_pDS255,2.2987170596393898
SDC3,0.00028506272694626646,0.06965174129353234,0.05247665330267827,SPI1_pDS255,0.0034674063800277
CCDC28B,0.09174572725139296,0.004975124378109453,5.874126104820425,SPI1_pDS255,0.9011789181692096
BSDC1,0.019316592728890025,0.3880597014925373,0.09743985178829735,SPI1_pDS255,0.3623439667128987
ZBTB8A,0.004881700310572852,0.6318407960199005,-0.11137688810747315,SPI1_pDS255,0.0331137309292649
CLSPN,0.028553412270438852,0.4129353233830846,-0.0018880940066299046,SPI1_pDS255,1.674410540915395
THRAP3,0.024139987595174196,0.5920398009950248,-0.4368611085291207,SPI1_pDS255,1.802357836338419
EVA1B,0.07815294733173937,0.004975124378109453,7.6805577969911765,SPI1_pDS255,0.2869278779472954
CSF3R,0.0009296094890135994,0.8159203980099502,-0.8071774230250117,SPI1_pDS255,0.0275658807212205
CDCA8,0.02271822619679799,0.39800995024875624,0.01977718545539983,SPI1_pDS255,0.6059292649098474
FHL3,0.011488709964906706,0.8606965174129353,-0.9965045211562535,SPI1_pDS255,0.6312413314840499
KIAA0754,0.005715362794824725,0.4228855721393035,0.41492297530681893,SPI1_pDS255,0.0112690707350901
RP1-118J21.25,0.007071618894341518,0.009950248756218905,3.0123331131385047,SPI1_pDS255,0.0078016643550624
MYCL,0.005976151015818208,0.5024875621890548,0.1967614762599866,SPI1_pDS255,0.0334604715672676
CAP1,0.08348561545562659,0.004975124378109453,5.221167774517917,SPI1_pDS255,1.8044382801664356
RP1-39G22.7,0.0256409924649852,0.13930348258706468,1.0298421830098174,SPI1_pDS255,0.0292995839112343
RIMS3,0.00017886081756255203,0.3681592039800995,-0.45237176454705336,SPI1_pDS255,0.0084951456310679
RIMKLA,9.596896714513366e-05,0.004975124378109453,3.54788231813401,SPI1_pDS255,0.0026005547850208
EBNA1BP2,0.02678244156073071,0.4925373134328358,-0.19425150084804235,SPI1_pDS255,4.639563106796117
CDC20,0.01767221481031529,0.7711442786069652,-0.7408345889856226,SPI1_pDS255,0.8997919556171984
HYI,0.014411012068016064,0.23383084577114427,0.6590085853998339,SPI1_pDS255,0.0292995839112343
ST3GAL3,0.014050014310396677,0.04477611940298507,2.134795282122763,SPI1_pDS255,0.0292995839112343
