gene,score
HLA-DRA,1.9672565492703116
IGKV3-11,1.6297905833924429
CD74,1.605169350533949
IL32,1.4834554291605933
IGHV1-24,1.4398682430167413
HLA-DQB1,1.3419332436288722
IFITM1,1.3210040784604238
CD3E,1.275111030125305
CD79A,1.2145474862955612
CCL5,1.20406964296065
IGHM,1.202853940797202
NKG7,1.188151726175739
IGHA1,1.1123216277750447
NIBAN3,1.1057030067811893
GNLY,1.0581335131500593
IGLV3-25,1.0377888536440985
IRF8,0.9773365020099765
CD24,0.9584607875990638
ITGB2,0.9493157622371421
KLF2,0.9362045067438693
LINC01857,0.9299693513627976
TRPM4,0.9232444357400099
TXNIP,0.9115776002774479
CD3D,0.9093561164121592
FYB1,0.8537258708971942
IGLC6,0.8419945119937384
HLA-DMB,0.8268405784457317
CST7,0.7974934003278589
RALGPS2,0.7935271279440462
ID3,0.7912159524202766
PLAAT4,0.7605524748022556
GZMA,0.7542981224521923
CTSW,0.752774535910116
ANXA1,0.7452465773571485
GZMH,0.7089652891072914
AFF3,0.700881115411064
IFITM2,0.7000914559971216
IGHG3,0.6896012557856834
ARL4C,0.6838664773008536
SH3BGRL3,0.6834821039921558
IL7R,0.6815383886588771
IGLC7,0.6806316488061555
IGHV1-46,0.6579640649990401
S100A4,0.6507975295658639
CD7,0.6442533811498518
H1FX,0.6405158058491366
CD3G,0.6369744775970085
CD79B,0.633751561834492
GZMM,0.6309561890777606
GIMAP7,0.6286752495870219
SLC9A3R1,0.5930723185513931
LCK,0.5900608375509598
MS4A1,0.5878546992973607
PAGE2B,0.5771862655945731
RPS27,0.5712038222158953
IFI30,0.5703086715863379
LAT,0.5682782674750745
STX7,0.5679702711581026
IGKC,0.5632170369358451
S100A10,0.5585726250970251
ZFP36L2,0.5538342344355536
LIME1,0.5531902382592907
TYROBP,0.5488530797631653
IGLV4-69,0.5466592854689465
STMN1,0.5436977766093296
LILRA4,0.5405706979324757
ATF5,0.5394524939140223
RPS4Y1,0.5330632058451572
GIMAP4,0.5277855492834951
PRF1,0.5265741596038862
CRIP1,0.5256099763816139
TSC22D3,0.5215416100447757
FYN,0.5179883185335099
FGFBP2,0.5173524110633834
SELPLG,0.5157239962117123
CCDC88A,0.5156092613838124
ZNF107,0.5080445249207499
CD2,0.5063181981021772
FCER2,0.5044043322393612
HLA-A,0.49986084720887664
TTN,0.4987448415940821
FCRL5,0.49172313010324614
EFHD2,0.48952154733621445
ORAI2,0.4841396229164223
MT2A,0.48389400600472865
LINC00926,0.4806432365368426
ITGA4,0.4795029680197767
TPT1,0.4789587633601032
TCF7,0.4777125056315623
MS4A6A,0.47532701664552635
GZMB,0.47319124352461844
BIN2,0.4722270824766992
TUBB,0.4716956491883075
LCP2,0.4707861895028772
ID2,0.4669772475135421
SUN2,0.46665143651009106
CD247,0.4630261458655892
MS4A4E,0.4530540924785076
CLEC17A,0.44499171649200026
SERPINF1,0.43788467740847725
DUSP1,0.4253722966559279
ZYX,0.42487183361944253
FCGR2B,0.4224298721581244
ZAP70,0.42040047973580974
CD6,0.4175680139460316
CD8A,0.4172830775571139
KLRG1,0.4149985760979931
LINC02397,0.4072732917575517
MIR155HG,0.40573170343423914
ADGRE5,0.40366703476103766
LINC01480,0.40345101824485263
HOPX,0.40023367832217727
ARRB2,0.398961264008721
PLEKHG1,0.39164797969052795
ALOX5,0.39067611024057797
MYO1F,0.3815572274770536
RPLP0,0.378371138895261
IGLC1,0.372201821867607
GZMK,0.37085343957063316
TGFB1,0.37048131352471964
FTL,0.3673277181339569
LINC00861,0.36662517574721964
KLF3,0.36658943965884877
CXCR4,0.3662524210372486
GIMAP5,0.3647978109695105
CD72,0.3645948471513405
COL9A3,0.362155210532719
ADD3,0.3615866165279905
KLRK1,0.36030420647500655
PRKCH,0.36020049790503966
CTSS,0.35952548479201446
IL4R,0.3578861470202515
SLC2A3,0.35784812434130975
S100A6,0.3562669843944688
FLT3LG,0.3557287972148584
CD69,0.35321621625134136
CD8B,0.35265282169076007
IER2,0.35132170657553835
RPL12,0.3497020975113171
SAMHD1,0.3488693878668482
CCND3,0.34658033394467735
C12orf75,0.34604781774711874
CIITA,0.34574311174446914
MZB1,0.3439705781807518
FABP5,0.3425682370017957
RNF213,0.3411067331282209
CALM3,0.3376013111438283
BCL11B,0.33309354629591037
GABPB1-AS1,0.3329909144682882
ITM2A,0.32931712276673103
COBLL1,0.3279712847469365
RAP1B,0.32735815798586726
KLRD1,0.3260533666461217
VSIR,0.32091548434525513
TRBV7-6,0.3205316433588425
CLEC2B,0.32020574670389695
XIST,0.31886814530246665
GIMAP1,0.31858910920763334
TRBC1,0.3172119718140687
C16orf74,0.3156054899110288
ITGB2-AS1,0.31519598430047985
P2RY8,0.3138167386370099
AAK1,0.31364491021234997
EDN1,0.3106930317088885
RPL32,0.3104015075156618
HIST1H4C,0.3078090222898159
SIDT2,0.3064128662019461
ADTRP,0.3052696951047915
CD83,0.3035117994169693
MARCKS,0.29839979619452456
ARMH1,0.29666386177113035
ITK,0.29654795973384124
KLHL14,0.29622281600472816
SPI1,0.29457309224956035
