gene,is_known,p_S1,p_S2,p_mean,p_max,p_fisher,p_bonf,p_hmp
AP006222.2,False,0.7621189405297352,0.2894211576846307,0.5444948667005951,0.2894211576846307,0.5539754738949539,0.5788423153692615,0.6477070056285846
RP4-669L17.2,False,0.05697151424287856,0.0538922155688622,0.012068972660346788,0.053892215568862145,0.020835116640550377,0.1077844311377244,0.23534889065387718
RP4-669L17.10,False,0.0004997501249375312,0.0019960079840319,6.430213693953135e-06,0.0004997501249375258,1.4781041052014388e-05,0.0009995002498750624,0.028272964322665645
OR4F29,False,0.4012993503248376,0.782435129740519,0.6462035057778156,0.40129935032483766,0.6777149978172892,0.8025987006496752,0.728360269148953
SAMD11,False,0.0004997501249375312,0.0319361277445109,0.0001378239784023405,0.0004997501249375258,0.00019224590839794775,0.0009995002498750624,0.03137037813429786
MRPL20,False,0.00399800099950025,0.0259481037924151,0.000576970196034976,0.003998000999500206,0.0010554166268151866,0.0079960019990005,0.08323751194597818
VWA1,False,0.0004997501249375312,0.029940119760479,0.00012739433546382628,0.0004997501249375258,0.0001811962018177793,0.0009995002498750624,0.03135427941435417
ATAD3B,False,0.3353323338330835,0.091816367265469,0.10732251798407544,0.09181636726546905,0.13795311411115452,0.183632734530938,0.3796848089028366
TMEM240,False,0.0004997501249375312,0.3293413173652694,0.00415503066780587,0.0004997501249375258,0.0015984925588021781,0.0009995002498750624,0.031590914564729754
CDK11B,False,0.0004997501249375312,0.0019960079840319,6.430213693953135e-06,0.0004997501249375258,1.4781041052014388e-05,0.0009995002498750624,0.028272964322665645
RP11-181G12.2,False,0.021989005497251374,0.0019960079840319,0.00027014915337642,0.001996007984031878,0.0004842768508729334,0.0039920159680638,0.06049631834390352
ARHGEF16,False,0.0009995002498750624,0.0019960079840319,1.2169547560003657e-05,0.0009995002498750516,2.817924621545398e-05,0.001999000499750125,0.036496593430090485
PLEKHG5,False,0.0004997501249375312,0.0079840319361277,2.7802027445011923e-05,0.0004997501249375258,5.3592820653758366e-05,0.0009995002498750624,0.030669580415215735
RP11-334N17.1,False,0.0009995002498750624,0.2894211576846307,0.004972618541808416,0.0009995002498750516,0.002646338486125721,0.001999000499750125,0.04463318069209232
SLC45A1,False,0.15892053973013492,0.279441117764471,0.13143409213252877,0.15892053973013498,0.18271232381815705,0.31784107946026985,0.45012578132194386
SPSB1,False,0.0009995002498750624,0.0339321357285429,0.0002541533199275081,0.0009995002498750516,0.00038295825039158515,0.001999000499750125,0.044065894081671074
PEX14,False,0.11944027986006997,0.0518962075848303,0.0236780465653168,0.05189620758483027,0.037708239712755165,0.1037924151696606,0.26898823510622905
RP4-635E18.9,False,0.0004997501249375312,0.1117764471057884,0.0007175483695962548,0.0004997501249375258,0.0006028809724042405,0.0009995002498750624,0.031544435264900375
RP11-56N19.5,False,0.011494252873563218,0.2455089820359281,0.01809999460995637,0.011494252873563204,0.019387674612089456,0.022988505747126436,0.1481902973229856
PRAMEF1,False,0.38580709645177413,0.2854291417165668,0.2722483131855754,0.28542914171656686,0.35306634614565224,0.5708582834331336,0.5728112805519691
PRAMEF2,False,0.022488755622188907,0.0019960079840319,0.0002769205230805927,0.001996007984031878,0.0004942743873227462,0.0039920159680638,0.06055233428197284
PRAMEF14,False,0.0004997501249375312,0.0019960079840319,6.430213693953135e-06,0.0004997501249375258,1.4781041052014388e-05,0.0009995002498750624,0.028272964322665645
EFHD2,False,0.0384807596201899,0.0019960079840319,0.0005077467739110775,0.001996007984031878,0.0008045015736281025,0.0039920159680638,0.061604869441328036
CLCNKA,False,0.0074962518740629685,0.0019960079840319,8.643123028528876e-05,0.001996007984031878,0.0001811962018177793,0.0039920159680638,0.05614788615609843
RP11-276H7.2,False,0.04397801099450275,0.0019960079840319,0.0005931885668410963,0.001996007984031878,0.0009077089226492419,0.0039920159680638,0.06179561962528666
RP5-875O13.1,False,0.09245377311344327,0.5888223552894212,0.21807189314287512,0.09245377311344338,0.21289276634209697,0.18490754622688654,0.39976786142228854
MRTO4,False,0.0944527736131934,0.0638722554890219,0.022429330694701988,0.06387225548902187,0.03686426081541083,0.1277445109780438,0.276060133432342
PLA2G2A,False,0.004497751124437781,0.1417165668662674,0.004585777674772418,0.004497751124437732,0.005327504355651547,0.008995502248875561,0.0933744524746937
PLA2G5,False,0.0004997501249375312,0.0019960079840319,6.430213693953135e-06,0.0004997501249375258,1.4781041052014388e-05,0.0009995002498750624,0.028272964322665645
RP4-749H3.2,False,0.005997001499250375,0.18562874251497,0.008004339858895149,0.005997001499250421,0.008683642768120614,0.01199400299850075,0.1077898235128892
CELA3A,False,0.6216891554222889,0.0019960079840319,0.03464940759650881,0.001996007984031878,0.0095448781856452,0.0039920159680638,0.06308121858260099
C1QA,False,0.0004997501249375312,0.0019960079840319,6.430213693953135e-06,0.0004997501249375258,1.4781041052014388e-05,0.0009995002498750624,0.028272964322665645
TCEB3-AS1,False,0.0004997501249375312,0.0019960079840319,6.430213693953135e-06,0.0004997501249375258,1.4781041052014388e-05,0.0009995002498750624,0.028272964322665645
HMGCL,False,0.004497751124437781,0.0099800399201596,0.00023914578456163404,0.004497751124437732,0.0004942743873227462,0.008995502248875561,0.07874585364780656
GRHL3,False,0.0004997501249375312,0.0019960079840319,6.430213693953135e-06,0.0004997501249375258,1.4781041052014388e-05,0.0009995002498750624,0.028272964322665645
SRRM1,False,0.14592703648175911,0.0019960079840319,0.0027100175265665216,0.001996007984031878,0.0026625872223098312,0.0039920159680638,0.0627546769121743
RP4-799D16.1,False,0.0074962518740629685,0.562874251497006,0.053898688099931924,0.007496251874062998,0.027291600130221916,0.014992503748125937,0.12163659246608684
TMEM57,False,0.0004997501249375312,0.0019960079840319,6.430213693953135e-06,0.0004997501249375258,1.4781041052014388e-05,0.0009995002498750624,0.028272964322665645
RP1-187B23.1,False,0.02048975512243878,0.0019960079840319,0.0002500024472509299,0.001996007984031878,0.0004541460718019419,0.0039920159680638,0.060312968395571764
RP1-317E23.3,False,0.021989005497251374,0.6107784431137725,0.11021566427061069,0.021989005497251357,0.07131861866878908,0.04397801099450275,0.2060333752438019
AUNIP,False,0.0004997501249375312,0.313373253493014,0.003784356670754052,0.0004997501249375258,0.0015287732710095314,0.0009995002498750624,0.03158969516645572
ZNF593,False,0.24387806096951525,0.0858283433133732,0.07253156292476182,0.0858283433133733,0.10186372613088035,0.1716566866267464,0.35633053331352815
CATSPER4,False,0.0014992503748125937,0.2914171656686626,0.006441374719298509,0.0014992503748125774,0.0038167301699230105,0.0029985007496251873,0.054618251130536394
ARID1A,False,0.7151424287856072,0.2075848303393213,0.43085334694919275,0.2075848303393213,0.43162461360878324,0.4151696606786426,0.567247253463145
TRNP1,False,0.0734632683658171,0.0858283433133732,0.023175447732098453,0.07346326836581707,0.038249898014599326,0.1469265367316342,0.2813643259193609
