target,label,N,W1_BCR,W1_time,T_BCR,T_time,U_BCR,U_time,S_BCR,S_time,W1_AUROC,T_AUROC
TCL1A,POS,3890,1,5.793324947357178,9,11.066406011581421,8,6.178339242935181,8,14.947090864181519,0.9394421534565055,0.9017900630395355
LYN,POS,2996,1,4.932593822479248,6,10.709614992141724,6,5.508607864379883,4,14.53311800956726,0.8523418329243572,0.8478330449626353
CD79A,POS,3054,1,4.9821319580078125,5,10.650002002716064,6,5.586549758911133,5,14.985641956329346,0.861869662629477,0.8778939507094845
SYK,POS,3876,1,5.629102945327759,5,10.696640968322754,5,6.37723708152771,6,14.961074113845825,0.8549023791742238,0.85965933602067
BTK,POS,4384,1,8.060642004013062,6,18.24086618423462,6,9.414291858673096,6,31.823894739151,0.8598240088320291,0.8592488136599576
GAPDH,NEG,2500,0,897.2267599105835,0,14.58182978630066,0,6.2149879932403564,0,17.80865979194641,0.932136247037049,0.7792456593638527
ACTB,NEG,2500,3,4.7098069190979,0,10.997628927230835,0,5.88175106048584,0,19.048569202423096,0.9107705295970387,0.8873545196888379
B2M,NEG,2500,0,4.738620042800903,4,11.229496955871582,4,6.056087970733643,3,18.089076280593872,0.9346318518965206,0.9005190672560872
RPLP0,NEG,2500,0,4.52712082862854,1,11.726511001586914,1,5.659183025360107,1,17.883994102478027,0.8332444254774352,0.6440562392440823
HPRT1,NEG,8801,0,10.462756156921387,1,12.766173839569092,1,9.463696002960205,1,14.528557777404785,0.8032878898222926,0.6481661015219479
