gene,total,detected,mean,detection_rate,n_cells,first_decile_library,last_decile_library
RP11-34P13.3,12.0,12,0.0002666666666666667,0.0002666666666666667,45000,14743.567777777778,14897.587333333333
FAM138A,0.0,0,0.0,0.0,45000,14743.567777777778,14897.587333333333
OR4F5,0.0,0,0.0,0.0,45000,14743.567777777778,14897.587333333333
RP11-34P13.7,102.0,102,0.002266666666666667,0.002266666666666667,45000,14743.567777777778,14897.587333333333
RP11-34P13.8,2.0,2,4.4444444444444447e-05,4.4444444444444447e-05,45000,14743.567777777778,14897.587333333333
RP11-34P13.14,0.0,0,0.0,0.0,45000,14743.567777777778,14897.587333333333
RP11-34P13.9,0.0,0,0.0,0.0,45000,14743.567777777778,14897.587333333333
FO538757.3,4.0,4,8.888888888888889e-05,8.888888888888889e-05,45000,14743.567777777778,14897.587333333333
FO538757.2,32421.0,21598,0.7204666666666667,0.4799555555555556,45000,14743.567777777778,14897.587333333333
AP006222.2,7841.0,7084,0.17424444444444445,0.1574222222222222,45000,14743.567777777778,14897.587333333333
RP5-857K21.15,0.0,0,0.0,0.0,45000,14743.567777777778,14897.587333333333
RP4-669L17.2,1.0,1,2.2222222222222223e-05,2.2222222222222223e-05,45000,14743.567777777778,14897.587333333333
RP4-669L17.10,584.0,579,0.012977777777777777,0.012866666666666667,45000,14743.567777777778,14897.587333333333
OR4F29,0.0,0,0.0,0.0,45000,14743.567777777778,14897.587333333333
RP5-857K21.4,33.0,33,0.0007333333333333333,0.0007333333333333333,45000,14743.567777777778,14897.587333333333
RP5-857K21.2,0.0,0,0.0,0.0,45000,14743.567777777778,14897.587333333333
OR4F16,0.0,0,0.0,0.0,45000,14743.567777777778,14897.587333333333
RP11-206L10.4,0.0,0,0.0,0.0,45000,14743.567777777778,14897.587333333333
RP11-206L10.9,4537.0,4231,0.10082222222222222,0.09402222222222222,45000,14743.567777777778,14897.587333333333
FAM87B,4.0,4,8.888888888888889e-05,8.888888888888889e-05,45000,14743.567777777778,14897.587333333333
LINC00115,1535.0,1503,0.03411111111111111,0.0334,45000,14743.567777777778,14897.587333333333
FAM41C,1344.0,1317,0.029866666666666666,0.029266666666666667,45000,14743.567777777778,14897.587333333333
RP11-54O7.16,15.0,15,0.0003333333333333333,0.0003333333333333333,45000,14743.567777777778,14897.587333333333
RP11-54O7.1,852.0,828,0.018933333333333333,0.0184,45000,14743.567777777778,14897.587333333333
RP11-54O7.2,44.0,44,0.0009777777777777777,0.0009777777777777777,45000,14743.567777777778,14897.587333333333
RP11-54O7.3,410.0,397,0.009111111111111111,0.008822222222222223,45000,14743.567777777778,14897.587333333333
SAMD11,987.0,875,0.021933333333333332,0.019444444444444445,45000,14743.567777777778,14897.587333333333
NOC2L,53298.0,29172,1.1844,0.6482666666666667,45000,14743.567777777778,14897.587333333333
KLHL17,3749.0,3534,0.08331111111111111,0.07853333333333333,45000,14743.567777777778,14897.587333333333
PLEKHN1,6.0,6,0.00013333333333333334,0.00013333333333333334,45000,14743.567777777778,14897.587333333333
PERM1,7.0,7,0.00015555555555555556,0.00015555555555555556,45000,14743.567777777778,14897.587333333333
RP11-54O7.17,120.0,119,0.0026666666666666666,0.0026444444444444445,45000,14743.567777777778,14897.587333333333
HES4,17792.0,13040,0.3953777777777778,0.2897777777777778,45000,14743.567777777778,14897.587333333333
ISG15,28556.0,19215,0.6345777777777778,0.427,45000,14743.567777777778,14897.587333333333
RP11-54O7.11,2.0,2,4.4444444444444447e-05,4.4444444444444447e-05,45000,14743.567777777778,14897.587333333333
AGRN,5624.0,5067,0.12497777777777777,0.1126,45000,14743.567777777778,14897.587333333333
RP11-54O7.18,1.0,1,2.2222222222222223e-05,2.2222222222222223e-05,45000,14743.567777777778,14897.587333333333
RNF223,447.0,86,0.009933333333333334,0.001911111111111111,45000,14743.567777777778,14897.587333333333
C1orf159,8204.0,7241,0.18231111111111112,0.16091111111111112,45000,14743.567777777778,14897.587333333333
LINC01342,1.0,1,2.2222222222222223e-05,2.2222222222222223e-05,45000,14743.567777777778,14897.587333333333
RP11-465B22.8,5.0,5,0.00011111111111111112,0.00011111111111111112,45000,14743.567777777778,14897.587333333333
TTLL10-AS1,47.0,47,0.0010444444444444444,0.0010444444444444444,45000,14743.567777777778,14897.587333333333
TTLL10,708.0,691,0.015733333333333332,0.015355555555555556,45000,14743.567777777778,14897.587333333333
TNFRSF18,30.0,30,0.0006666666666666666,0.0006666666666666666,45000,14743.567777777778,14897.587333333333
TNFRSF4,53.0,47,0.0011777777777777778,0.0010444444444444444,45000,14743.567777777778,14897.587333333333
SDF4,47647.0,27279,1.0588222222222223,0.6062,45000,14743.567777777778,14897.587333333333
B3GALT6,22079.0,16471,0.49064444444444444,0.36602222222222225,45000,14743.567777777778,14897.587333333333
FAM132A,461.0,451,0.010244444444444445,0.010022222222222222,45000,14743.567777777778,14897.587333333333
RP5-902P8.12,39.0,39,0.0008666666666666666,0.0008666666666666666,45000,14743.567777777778,14897.587333333333
UBE2J2,48532.0,27457,1.0784888888888888,0.6101555555555556,45000,14743.567777777778,14897.587333333333
RP5-902P8.10,49.0,49,0.0010888888888888888,0.0010888888888888888,45000,14743.567777777778,14897.587333333333
SCNN1D,328.0,323,0.007288888888888889,0.007177777777777778,45000,14743.567777777778,14897.587333333333
ACAP3,9407.0,8243,0.20904444444444445,0.18317777777777777,45000,14743.567777777778,14897.587333333333
PUSL1,18594.0,14391,0.4132,0.3198,45000,14743.567777777778,14897.587333333333
