quantity,recomputed,manuscript
total_cells,111668,111668
negctrl_pool,11855,11855
cells_CEBPE,566,566
cells_KLF1,1197,1197
cells_SLC4A1,1000,1000
cells_BAK1,687,687
cells_DUSP9,731,731
cells_CBL,663,663
controls_used_CEBPE,1698,
controls_used_KLF1,3591,
controls_used_SLC4A1,3000,
controls_used_BAK1,2061,
controls_used_DUSP9,2193,
controls_used_CBL,1989,
cells_CEBPE_wide,1233,1233
cells_KLF1_wide,1960,1960
cells_SLC4A1_wide,1000,
cells_BAK1_wide,1457,
cells_DUSP9_wide,731,
cells_CBL_wide,663,
cells_CEBPA_wide,460,460
controls_used_CEBPE_wide,3699,3699
controls_used_KLF1_wide,5000,5000
controls_used_SLC4A1_wide,3000,
controls_used_BAK1_wide,4371,
controls_used_DUSP9_wide,2193,
controls_used_CBL_wide,1989,
controls_used_CEBPA_wide,1380,1380
