target,gene,is_positive,s1_wasserstein,ks_statistic,ks_p_value,t_abs_statistic,wilcoxon_neglog10_p,wilcoxon_p_value
KLF1,AP006222.2,False,0.002160578284130955,0.008077551020408164,0.9999825926171357,1.2416992812297014,0.26803777661055095,0.5394636958394597
KLF1,RP4-669L17.2,False,0.0014509781139309444,0.0067551020408163215,0.9999999164715517,1.3535988108917685,0.08017960232539727,0.8314198666126461
KLF1,RP4-669L17.10,False,0.001863142660550595,0.00872653061224489,0.9998976873727219,1.322051014047938,0.2806943675893892,0.5239690472713114
KLF1,OR4F29,False,0.0025211567245191917,0.011334693877551011,0.9926972106755221,1.7963360094881167,0.6595629461833117,0.21899643939394853
KLF1,SAMD11,False,0.0001455529744732805,0.007044897959183671,0.9999996499281336,0.5849158572059895,0.09823852841332761,0.7975565234126225
KLF1,MRPL20,False,0.0007902379204236481,0.0065142857142857155,0.9999999781186261,1.758408074153012,0.19447406559124117,0.6390368970531801
KLF1,VWA1,False,0.002321798766716845,0.009783673469387758,0.9991178352961475,1.177276431142297,0.3309483906579156,0.46671483903104594
KLF1,ATAD3B,False,0.003186777258385153,0.01188163265306122,0.9873557094465549,0.7427593126631914,0.7826746090898468,0.164939772386537
KLF1,TMEM240,False,0.0009622693818100196,0.006832653061224492,0.9999998752085939,0.3509759302167016,0.12471125243249524,0.7503929541601135
KLF1,CDK11B,False,0.0002930807848499426,0.006783673469387741,0.9999999030010864,0.2545246080465993,0.10249519994033307,0.7897775784045311
KLF1,RP11-181G12.2,False,0.0019238522415520609,0.007620408163265369,0.9999962402254463,0.4898762114351229,0.15282268455365186,0.7033594316026099
KLF1,ARHGEF16,False,0.002252490730303423,0.005310204081632658,0.9999999999985936,0.9084181312383534,0.007428012500246431,0.9830418058946009
KLF1,PLEKHG5,False,0.0008996056252471282,0.003910204081632673,1.0,0.4979125010200217,0.0633819705033494,0.864207497000966
KLF1,RP11-334N17.1,False,0.0011073662751621097,0.004824489795918374,0.9999999999999968,0.7100921644432885,0.00872015609065019,0.9801213372876957
KLF1,SLC45A1,False,0.0018121516646912336,0.011391836734693878,0.9922359432417224,0.8248694528836155,0.5742084428603941,0.26655789930276075
