type,theta,rep,n_pert,n_causal,TPR_S1,TPR_S2,TPR_comb,AUROC_S1,AUROC_S2,AUROC_comb,time
A,0.1,0,100,20,0.5,0.25,0.4,0.8786458333333333,0.5311979166666667,0.7519791666666666,24.592674016952515
A,0.1,1,100,20,0.6,0.3,0.35,0.8766666666666667,0.5436458333333334,0.7767708333333333,24.428810119628906
A,0.1,2,100,20,0.3,0.25,0.25,0.6091666666666666,0.48458333333333337,0.526875,24.4704749584198
A,0.2,0,100,20,0.65,0.25,0.35,0.9114583333333333,0.49484374999999997,0.7930208333333333,24.282071828842163
A,0.2,1,100,20,0.7,0.4,0.45,0.9165104166666667,0.52484375,0.78796875,24.031657934188843
A,0.2,2,100,20,0.4,0.3,0.25,0.7113541666666666,0.51609375,0.6234895833333334,24.372972011566162
A,0.3,0,100,20,0.85,0.3,0.3,0.9555208333333333,0.4965104166666666,0.8588541666666667,24.00958514213562
A,0.3,1,100,20,0.75,0.25,0.45,0.9484895833333332,0.5326041666666667,0.8439583333333334,24.026961088180542
A,0.3,2,100,20,0.55,0.2,0.3,0.8235937499999999,0.5027083333333333,0.7168229166666666,24.03193998336792
A,0.4,0,100,20,0.9,0.25,0.5,0.9729166666666667,0.573125,0.8977083333333333,24.000788927078247
A,0.4,1,100,20,0.85,0.3,0.55,0.9496875,0.5769270833333333,0.8519791666666666,23.986217975616455
A,0.4,2,100,20,0.7,0.3,0.3,0.9122916666666666,0.52078125,0.8210937500000001,24.006197929382324
A,0.5,0,100,20,0.9,0.35,0.55,0.9921354166666667,0.6082812499999999,0.9431250000000001,23.98491883277893
A,0.5,1,100,20,0.9,0.35,0.65,0.94296875,0.6077604166666666,0.86484375,24.032272815704346
A,0.5,2,100,20,0.8,0.35,0.55,0.9715104166666667,0.5655208333333334,0.8941145833333334,24.084933280944824
A,0.7,0,100,20,1.0,0.35,0.75,0.9989583333333334,0.678125,0.9645833333333333,23.98411512374878
A,0.7,1,100,20,0.9,0.3,0.65,0.9551041666666665,0.6159375,0.88453125,24.018153190612793
A,0.7,2,100,20,1.0,0.25,0.55,0.9951041666666667,0.59125,0.9419791666666667,23.968930959701538
A,1.0,0,100,20,1.0,0.35,0.65,0.9989583333333333,0.6426041666666666,0.9503125,24.015733003616333
A,1.0,1,100,20,0.95,0.4,0.6,0.9719270833333333,0.6508333333333334,0.9005208333333333,23.978046894073486
A,1.0,2,100,20,1.0,0.35,0.8,0.9979166666666667,0.6427083333333333,0.9632291666666668,23.985050201416016
B,0.1,0,100,20,0.35,0.0,0.3,0.7884895833333334,0.46848958333333335,0.6512499999999999,24.05697202682495
B,0.1,1,100,20,0.5,0.05,0.4,0.7595833333333333,0.5331770833333334,0.7015625,24.2445809841156
B,0.1,2,100,20,0.2,0.0,0.2,0.5742708333333333,0.4363541666666667,0.4998958333333333,24.613258123397827
B,0.2,0,100,20,0.3,0.0,0.3,0.7889583333333333,0.5308854166666667,0.6900520833333332,25.29954481124878
B,0.2,1,100,20,0.5,0.15,0.3,0.7980208333333334,0.48187499999999994,0.7194791666666667,24.381705045700073
B,0.2,2,100,20,0.2,0.0,0.15,0.5721875,0.41171875,0.4859375,24.05890727043152
B,0.3,0,100,20,0.5,0.05,0.3,0.84109375,0.47739583333333335,0.729375,24.26494002342224
B,0.3,1,100,20,0.5,0.05,0.4,0.8097395833333333,0.48927083333333343,0.72140625,24.47334098815918
B,0.3,2,100,20,0.25,0.1,0.2,0.5776041666666667,0.46583333333333327,0.5177604166666667,24.005964994430542
B,0.4,0,100,20,0.4,0.05,0.25,0.7757291666666668,0.4783854166666667,0.6458333333333334,23.926429271697998
B,0.4,1,100,20,0.55,0.0,0.4,0.8781770833333333,0.5023958333333333,0.7655208333333333,24.172151803970337
B,0.4,2,100,20,0.15,0.0,0.15,0.5957291666666666,0.4576562500000001,0.5319270833333334,1084.887431383133
B,0.5,0,100,20,0.7,0.0,0.4,0.8508333333333333,0.46515625,0.7438541666666667,23.91513204574585
B,0.5,1,100,20,0.5,0.15,0.35,0.8643229166666667,0.5283854166666667,0.7828125,23.861457109451294
B,0.5,2,100,20,0.4,0.0,0.25,0.6780729166666666,0.46005208333333336,0.5963541666666667,23.992844104766846
B,0.7,0,100,20,0.8,0.05,0.45,0.9322395833333333,0.5418749999999999,0.8667708333333333,23.950396299362183
B,0.7,1,100,20,0.7,0.05,0.45,0.9318229166666666,0.52046875,0.830625,23.870012283325195
B,0.7,2,100,20,0.5,0.05,0.25,0.89546875,0.44572916666666673,0.7714062500000001,23.866107940673828
B,1.0,0,100,20,0.9,0.1,0.6,0.9683854166666666,0.5517708333333333,0.9252083333333333,23.844460010528564
B,1.0,1,100,20,0.85,0.05,0.5,0.9390625,0.5595833333333333,0.8754166666666666,23.871742963790894
B,1.0,2,100,20,0.8,0.2,0.4,0.9684375,0.5327604166666667,0.8768750000000001,23.87665581703186
C,0.1,0,100,20,0.55,0.25,0.45,0.8714583333333334,0.5891666666666666,0.7863541666666667,23.91789412498474
C,0.1,1,100,20,0.75,0.4,0.35,0.875625,0.5344270833333333,0.77671875,23.92645025253296
C,0.1,2,100,20,0.4,0.2,0.25,0.7359375,0.4979166666666668,0.636875,23.919201135635376
C,0.2,0,100,20,0.8,0.3,0.45,0.9149479166666666,0.4907291666666666,0.7997916666666666,23.9272198677063
C,0.2,1,100,20,0.8,0.3,0.55,0.9145833333333333,0.5641666666666666,0.8232291666666667,23.939507007598877
C,0.2,2,100,20,0.5,0.2,0.3,0.8308854166666667,0.5304166666666668,0.7466666666666667,24.56511402130127
C,0.3,0,100,20,0.9,0.3,0.55,0.9780729166666667,0.5884895833333332,0.9071874999999999,24.02185606956482
C,0.3,1,100,20,0.85,0.3,0.55,0.9601041666666666,0.5876041666666666,0.868125,24.43113398551941
C,0.3,2,100,20,0.75,0.2,0.4,0.89578125,0.5249479166666666,0.8127604166666667,24.26721501350403
C,0.4,0,100,20,0.9,0.35,0.7,0.9924479166666667,0.6655208333333333,0.9423958333333333,23.950933933258057
C,0.4,1,100,20,0.9,0.3,0.6,0.9698437500000001,0.5659895833333333,0.8732291666666666,23.92937970161438
C,0.4,2,100,20,0.9,0.2,0.35,0.973125,0.4767187500000001,0.8934375,23.93387222290039
C,0.5,0,100,20,1.0,0.35,0.55,0.9986458333333333,0.6422395833333333,0.9530208333333333,23.954777717590332
C,0.5,1,100,20,0.9,0.4,0.65,0.9560416666666667,0.6151041666666668,0.8625,23.93050718307495
C,0.5,2,100,20,1.0,0.3,0.35,0.9953645833333333,0.5057291666666667,0.9275,23.944938898086548
C,0.7,0,100,20,1.0,0.4,0.75,0.9989583333333333,0.7070833333333333,0.9678125,23.968101978302002
C,0.7,1,100,20,0.95,0.4,0.7,0.9761979166666667,0.6630729166666667,0.9211458333333333,24.071342706680298
C,0.7,2,100,20,1.0,0.3,0.6,0.9979166666666666,0.6011979166666668,0.9560416666666667,949.4502990245819
C,1.0,0,100,20,1.0,0.5,0.85,0.9989583333333334,0.8106249999999999,0.9829166666666667,23.951075077056885
C,1.0,1,100,20,1.0,0.4,0.8,0.99546875,0.7776041666666667,0.9732291666666667,23.966962099075317
C,1.0,2,100,20,1.0,0.4,0.8,0.9979166666666666,0.6609895833333332,0.9641666666666666,24.02338719367981
