priority	candidate_id	source_path	field	dtype	n_unique	n_missing	split_name_candidate	perturbation_name_candidate	control_value_detected	examples
15	datlinger2021_jurkat_crispr	/Volumes/MOVESPEED/pgaa_cross_platform/v3b/sources/datlinger2021_jurkat_crispr/DatlingerBock2021.h5ad	sample	category	384	0	True	False	False	"[""A01"", ""A02"", ""A03"", ""A04"", ""A05"", ""A06"", ""A07"", ""A08"", ""A09"", ""A10"", ""A11"", ""A12"", ""A13"", ""A14"", ""A15"", ""A16""]"
15	datlinger2021_jurkat_crispr	/Volumes/MOVESPEED/pgaa_cross_platform/v3b/sources/datlinger2021_jurkat_crispr/DatlingerBock2021.h5ad	cell_line	category	1	0	False	False	False	"[""Jurkat cells""]"
15	datlinger2021_jurkat_crispr	/Volumes/MOVESPEED/pgaa_cross_platform/v3b/sources/datlinger2021_jurkat_crispr/DatlingerBock2021.h5ad	perturbation	category	41	0	False	True	False	"[""DOK2_1"", ""DOK2_2"", ""EGR1_1"", ""EGR1_2"", ""EGR2_1"", ""EGR2_2"", ""EGR3_1"", ""EGR3_2"", ""EGR4_1"", ""EGR4_2"", ""FOS_1"", ""FOS_2"", ""JUND_1"", ""JUND_2"", ""JUN_1"", ""JUN_2""]"
15	datlinger2021_jurkat_crispr	/Volumes/MOVESPEED/pgaa_cross_platform/v3b/sources/datlinger2021_jurkat_crispr/DatlingerBock2021.h5ad	perturbation_2	category	2	0	False	True	False	"[""stimulated"", ""unstimulated""]"
15	datlinger2021_jurkat_crispr	/Volumes/MOVESPEED/pgaa_cross_platform/v3b/sources/datlinger2021_jurkat_crispr/DatlingerBock2021.h5ad	tissue_type	category	1	0	False	False	False	"[""cell_line""]"
15	datlinger2021_jurkat_crispr	/Volumes/MOVESPEED/pgaa_cross_platform/v3b/sources/datlinger2021_jurkat_crispr/DatlingerBock2021.h5ad	cancer	bool	1	0	False	False	False	"[""True""]"
15	datlinger2021_jurkat_crispr	/Volumes/MOVESPEED/pgaa_cross_platform/v3b/sources/datlinger2021_jurkat_crispr/DatlingerBock2021.h5ad	celltype	category	1	0	False	False	False	"[""T cells""]"
15	datlinger2021_jurkat_crispr	/Volumes/MOVESPEED/pgaa_cross_platform/v3b/sources/datlinger2021_jurkat_crispr/DatlingerBock2021.h5ad	disease	category	1	0	False	False	False	"[""acute T cell leukemia""]"
15	datlinger2021_jurkat_crispr	/Volumes/MOVESPEED/pgaa_cross_platform/v3b/sources/datlinger2021_jurkat_crispr/DatlingerBock2021.h5ad	organism	category	1	0	False	False	False	"[""human""]"
15	datlinger2021_jurkat_crispr	/Volumes/MOVESPEED/pgaa_cross_platform/v3b/sources/datlinger2021_jurkat_crispr/DatlingerBock2021.h5ad	perturbation_type	category	1	0	False	True	False	"[""CRISPR""]"
15	datlinger2021_jurkat_crispr	/Volumes/MOVESPEED/pgaa_cross_platform/v3b/sources/datlinger2021_jurkat_crispr/DatlingerBock2021.h5ad	perturbation_type_2	category	1	0	False	True	False	"[""TCR stimulation""]"
15	datlinger2021_jurkat_crispr	/Volumes/MOVESPEED/pgaa_cross_platform/v3b/sources/datlinger2021_jurkat_crispr/DatlingerBock2021.h5ad	ncounts	float64	4479	0	False	False	False	"[""100.0"", ""1000.0"", ""10006.0"", ""1001.0"", ""1002.0"", ""10022.0"", ""1003.0"", ""1004.0"", ""1005.0"", ""1006.0"", ""10069.0"", ""1007.0"", ""1008.0"", ""10085.0"", ""1009.0"", ""101.0""]"
