panel	gene_symbol	feature_label	source_feature_id	q_value	DMSO	Osi_5min	Osi_10min	Osi_6h	DTP	DTP-24h	DTP-7d	Osi_5min_minus_DMSO	Osi_10min_minus_DMSO	Osi_6h_minus_DMSO	DTP_minus_DMSO	DTP-24h_minus_DMSO	DTP-7d_minus_DMSO
protein	CDK1	CDK1	P06493	6.09911e-05	1.332330	0.353313	0.482975	0.396568	-1.126250	-1.557870	0.118932	-0.979017	-0.849355	-0.935762	-2.458580	-2.890200	-1.213398
protein	MCM2	MCM2	P49736	6.56716e-05	0.614634	0.717552	0.901019	0.701932	-1.349610	-1.394600	-0.190929	0.102918	0.286385	0.087298	-1.964244	-2.009234	-0.805563
protein	MCM5	MCM5	P33992	6.14597e-05	0.445471	0.913711	0.889694	0.808282	-1.389050	-1.151120	-0.516992	0.468240	0.444223	0.362811	-1.834521	-1.596591	-0.962463
protein	MKI67	MKI67	P46013	6.72783e-05	0.942034	0.640933	0.793487	0.417137	-1.316310	-1.471540	-0.005735	-0.301101	-0.148547	-0.524897	-2.258344	-2.413574	-0.947769
protein	PCNA	PCNA	P12004	5.71429e-05	0.487435	0.798616	0.915975	0.807032	-1.127010	-1.485590	-0.396456	0.311181	0.428540	0.319597	-1.614445	-1.973025	-0.883891
protein	EGFR	EGFR	P00533	6.38298e-05	-0.122291	-1.292910	-1.149540	-0.346785	1.011850	1.097350	0.802325	-1.170619	-1.027249	-0.224494	1.134141	1.219641	0.924616
protein	RPA2	RPA2	P15927	0.00237313	-0.277780	-1.101420	0.006432	-1.375570	0.788874	0.608671	1.350800	-0.823640	0.284212	-1.097790	1.066654	0.886451	1.628580
protein	RB1	RB1	P06400	0.00236694	1.136650	1.241830	0.406098	0.142874	-1.012560	-1.204320	-0.710576	0.105180	-0.730552	-0.993776	-2.149210	-2.340970	-1.847226
protein	CCND1	CCND1	P24385	0.00133723	-0.160176	-0.090467	0.047061	-2.055160	0.803790	0.861181	0.593768	0.069709	0.207237	-1.894984	0.963966	1.021357	0.753944
phosphosite	ATR	ATR_S435	ATR_S435_M1	0.00029677	0.786567	0.886253	1.304848	-0.153233	-1.283336	-0.903429	-0.637670	0.099686	0.518280	-0.939801	-2.069904	-1.689996	-1.424238
phosphosite	EGFR	EGFR_T693	EGFR_T693_M1	7.69231e-05	1.175621	0.836580	1.016279	-1.338449	-0.857585	-0.339268	-0.493178	-0.339041	-0.159342	-2.514070	-2.033206	-1.514890	-1.668799
phosphosite	CDK1	CDK1_Y15	CDK1_Y15_M1	0.000207192	2.002644	0.525787	-0.633731	0.062689	-0.766678	-0.668600	-0.522110	-1.476857	-2.636375	-1.939955	-2.769323	-2.671244	-2.524754
phosphosite	MCM2	MCM2_S27	MCM2_S27_M1	5.47009e-05	-0.007330	1.011165	1.045253	0.933756	-1.119836	-1.040151	-0.822857	1.018495	1.052583	0.941086	-1.112505	-1.032821	-0.815526
phosphosite	MKI67	MKI67_S357	MKI67_S357_M1	3.26531e-05	0.540733	0.927913	0.943657	0.733025	-1.195767	-1.185157	-0.764404	0.387180	0.402923	0.192292	-1.736501	-1.725891	-1.305137
phosphosite	RB1	RB1_T821	RB1_T821_M2	9.28355e-05	1.826534	0.713054	-0.767591	0.221024	-0.928520	-0.742666	-0.321835	-1.113480	-2.594125	-1.605510	-2.755054	-2.569200	-2.148369
phosphosite	BAD	BAD_S99	BAD_S99_M1	7.7961e-05	-0.711549	-0.054513	-0.681270	-1.446514	0.661011	1.163765	1.069069	0.657037	0.030280	-0.734965	1.372561	1.875314	1.780619
phosphosite	SAMHD1	SAMHD1_T592	SAMHD1_T592_M1	0.000668203	0.750864	-0.777514	-0.931250	-0.975358	0.053664	0.151187	1.728407	-1.528377	-1.682113	-1.726222	-0.697199	-0.599677	0.977543
phosphosite	YAP1	YAP1_T361	YAP1_T361_M1	0.000262077	1.189731	0.854624	-1.775451	-0.325337	-0.128786	0.622867	-0.437649	-0.335108	-2.965183	-1.515068	-1.318517	-0.566864	-1.627380
phosphosite	CCNE1	CCNE1_S100	CCNE1_S100_M1	0.00010223	1.853217	0.347082	0.371141	-0.026012	-1.158030	-0.733876	-0.653522	-1.506136	-1.482077	-1.879230	-3.011247	-2.587093	-2.506739
